ab  a p
beobachten  b e q oh b a xh t ex n
beobachtet  b e q oh b a xh t ex t
bequem  b ex k v eh m
bereich  b ex r ei ch
bereit  b ex r ei t
bereitet  b ex r ei t ex t
bereits  b ex r ei ts
berge  b er g ex
berichte  b ex r i ch t ex
berichten  b ex r i ch t ex n
berichtet  b ex r i ch t ex t
berichtete  b ex r i ch t ex t ex
berlin  b er l ih n
berührt  b ex r ueh er t
beschäftigen  b ex sh e f t i g ex n
beschäftigt  b ex sh e f t i k t
beschlossen  b ex sh l o s ex n
beschreiben  b ex sh r ei b ex n
beschreibt  b ex sh r ei p t
beschrieben  b ex sh r ei b ex n
besitzen  b ex z i ts ex n
besitzt  b ex z i ts t
besondere  b e z o n d ex r ex
besonderen  b ex z o n d ex r ex n
besonderes  b ex z o n d er s
besonders  b ex z o n d er s
besorgen  b ex z o er g ex n
besorgt  b ex z o er k t
besser  b e s er
bessere  b e s ex r ex
besseren  b e s ex r ex n
besseres  b e s ex r ex s
bestand  b ex sh t a n t
bestätigen  b ex sh t eh t i g ex n
bestätigt  b ex sh t eh t i ch t
beste  b e s t ex
bestehen  b ex sh t eh ex n
besteht  b ex sh t eh t
bestellen  b ex sh t e l ex n
bestellt  b ex sh t e l t
besten  b e s t ex n
bestens  b e s t ex n s
bester  b e s t er
bestimmen  b ex sh t i m ex n
bestimmt  b ex sh t i m t
bestimmte  b ex sh t i m t ex
bestimmten  b ex sh t i m t ex n
besuchen  b ex z uh xh ex n
besucht  b ex z uh xh t
beteiligt  b ex t ei l i ch t
beteiligten  b ex t ei l i ch t ex n
betont  b ex t oh n t
betrachten  b ex t r a ch t ex n
betrachtet  b ex t r a xh t ex t
betreffen  b ex t r e f ex n
betreiben  b ex t r ei b ex n
betreten  b ex t r eh t ex n
betrieb  b ex t r ih p
betrifft  b ex t r i f t
betroffen  b ex t r o f ex n
betroffenen  b ex t r o f ex n ex n
bevölkerung  b ex f oe l k ex r u ng
bevor  b ex f oh er
bewegen  b ex v eh g ex n
bewegt  b ex v eh k t
beweisen  b ex v ei z ex n
bewusst  b ex v u s t
bezahlen  b ex ts a l ex n
bezahlt  b ex ts a l t
bezeichnen  b ex ts ei ch n ex n
bezeichnet  b ex ts ei ch n ex t
beziehen  b ex ts ih ex n
bezüglich  b ex ts ueh k l i ch
bieten  b ih t ex n
bietet  b ih t ex t
bild  b i l t
bilden  b i l d ex n
bildet  b i l d ex t
billig  b i l i ch
billiger  b i l i g er
bin  b i n
bis  b i s
bisher  b i s h e er
bisherigen  b i s h eh r i g ex n
bislang  b i s l a ng
bisschen  b i s ch ex n
bist  b i s t
bitte  b i t ex
bitten  b i t ex n
blätter  b l e t er
blau  b l au
blaue  b l au ex
blauen  b l au ex n
bleibe  b l ei b ex
bleiben  b l ei b ex n
bleibt  b l ei p t
blick  b l i k
blicke  b l i k ex
blicken  b l i k ex n
blieb  b l ih p
blieben  b l ei b ex n
blind  b l i n t
blöd  b l oeh t
blöde  b l oeh d ex
bloggen  b l o g ex n
bloß  b l oh s
boden  b oh d ex n
börse  b oe er z ex
böse  b oeh z ex
bösen  b oeh z ex n
brachte  b r a xh t ex
branche  b r a ng zh ex
brauch  b r au xh
brauche  b r au xh ex
brauchen  b r au xh ex n
braucht  b r au xh t
brauchte  b r au xh t ex
braun  b r au n
brav  b r a f
brechen  b r e ch ex n
breit  b r ei t
breite  b r ei t ex
bricht  b r i ch t
bringen  b r i ng ex n
bringt  b r i ng k t
buch  b uh xh
bunt  b u n t
bunte  b u n t ex
bunten  b u n t ex n
chance  sh a ng s
chinesischen  ch ih n eh z i sh ex n
christlichen  k r i s t l i ch ex n
circa  ts i er k a
cm  ts e n t ih m eh t er
computer  k o m p j uh t er
cool  k uh l
da  d a
dabei  d a b ei
dachte  d a xh t ex
dadurch  d a d u er ch
dafür  d a f ueh er
dagegen  d a g eh g ex n
daheim  d a h ei m
daher  d a h e er
dahin  d a h i n
dahinter  d a h i n t er
damaligen  d a m a l i g ex n
damals  d a m a l s
damit  d a m i t
danach  d a n a xh
daneben  d a n eh b ex n
dank  d a ng k
dankbar  d a ng k b a er
danke  d a ng k ex
dann  d a n
dar  d a er
daran  d a r a n
darauf  d a r au f
daraufhin  d a r au f h i n
daraus  d a r au s
darf  d a er f
dargestellt  d a er g ex sh t e l t
darin  d a r i n
darstellen  d a er sh t e l ex n
darstellt  d a er sh t e l t
darüber  d a r ueh b er
darum  d a r u m
darunter  d a r u n t er
das  d a s
dass  d a s
dasselbe  d a s z e l b ex
datum  d a t u m
dauerhaft  d au er h a f t
dauern  d au er n
dauernd  d au er n t
dauert  d au er t
dauerte  d au er t ex
davon  d a f o n
davor  d a f oh er
dazu  d a ts uh
dazwischen  d a ts v i sh ex n
de  d eh q eh q
decke  d e k ex
definitiv  d eh f ih n ih t ih f
dein  d ei n
deine  d ei n ex
deinem  d ei n ex m
deinen  d ei n ex n
deiner  d ei n er
dem  d eh m
dementsprechend  d eh m e n t sh p r e ch ex n t
demnach  d eh m n a xh
demnächst  d eh m n eh ch s t
den  d eh n
denen  d eh n ex n
denk  d e ng k
denke  d e ng k ex
denken  d e ng k ex n
denkt  d e ng k t
denn  d e n
dennoch  d e n o xh
der  d e er
derart  d e er q a er t
deren  d eh r ex n
derzeit  d e er ts ei t
des  d e s
deshalb  d e s h a l p
dessen  d e s ex n
desto  d e s t oh
deswegen  d e s v eh g ex n
detail   d eh t ei l
deutlich  d eu t l i ch
deutsch  d eu tsh
deutsche  d eu tsh ex
deutschen  d eu tsh ex n
deutscher  d eu tsh er
dezember  d eh ts e m b er
dich  d i ch
dicht  d i ch t
dick  d i k
dicke  d i k ex
dicken  d i k ex n
die  d ih
diejenigen  d ih j eh n i g ex n
dienen  d ih n ex n
dienst  d ih n s t
dienstag  d ih n s t a k
dient  d ih n t
dies  d ih s
diese  d ih z ex
diesem  d ih z ex m
diesen  d ih z ex n
dieser  d ih z er
dieses  d i z ex s
diesmal  d ih s m a l
dinge  d i ng ex
dingen  d i ng ex n
dir  d ih er
direkt  d ih r e k t
diskussion  d i s k u s j oh n
diskutieren  d i s k uh t ih er n
diskutiert  d i s k uh t ih er t
diverse  d ih v e er z ex
diversen  d ih v e er z ex n
doch  d o xh
donnerstag  d o n er s t a k
doof  d oh f
doppelt  d o p ex l t
dort  d o er t
dorthin  d o er t h i n
dran  d r a n
drauf  d r au f
draußen  d r au s ex n
drehen  d r eh ex n
dreht  d r eh t
drehte  d r eh t ex
drei  d r ei
drin  d r i n
dringend  d r i ng e n t
drinnen  d r i n ex n
dritte  d r i t ex
drittel  d r i t ex l
dritten  d r i t ex n
dritter  d r i t er
drohen  d r oh ex n
droht  d r oh t
drüber  d a r ueh b er
druck  d r u k
drücken  d r ue k ex n
drückt  d r ue k t
drum  d r u m
drum  d r u m
du  d uh
dumm  d u m
dumme  d u m ex
dunkel  d u ng k ex l
dunkle  d u ng k l ex
dunklen  d u ng k l ex n
dünn  d ue n
durch  d u er ch
durchaus  d u er ch au s
durcheinander  d u er ch ei n a n d er
durchgeführt  d u er ch g ex f ueh er t
durchs  d u er ch s
dürfen  d ue er f ex n
durfte  d u er f t ex
dürfte  d ue er f t ex
durften  d u er f t ex n
dürften  d ue er f t ex n
dusche  d uh sh ex
eben  e b ex n
ebene  eh b ex n ex
ebenfalls  eh b ex n f a l s
ebenso  eh b ex n z oh
echt  e ch t
echte  e ch t ex
echten  e ch t ex n
echter  e ch t er
ecke  e k ex
ecken  e k ex n
egal  eh g a l
eh  eh b ex n z oh
ehe  eh ex
ehemalige  eh ex m a l i g ex
ehemaligen  eh ex m a l i g ex n
eher  eh er
ehre  eh r ex
ehrlich  e er l i ch
eigene  ei g ex n ex
eigenen  ei g ex n ex n
eigener  ei g ex n er
eigenes  ei g ex n ex s
eigentlich  ei g ex n t l i ch
eigentliche  ei g ex n t l i ch ex
eigentlichen  ei g ex n t l i ch ex n
ein  ei n
einander  ei n a n d er
eindeutig  ei n d eu t i ch
eine  ei n ex
einem  ei n ex m
einen  ei n ex n
einer  ei n er
einerseits  ei n er z ei ts
eines  ei n ex s
einfach  ei n f a xh
einfache  ei n f a xh ex
einfachen  ei n f a xh ex n
einfacher  ei n f a xh er
eingeladen  ei n g ex l a d ex n
eingesetzt  ei n g ex z e ts t
eingestellt  ei n g ex sh t e l t
einige  ei n i g ex
einigen  ei n i g ex n
einiger  ei n i g er
einigermaßen  ei n i g er m a s ex n
einiges  ei n i g ex s
einkaufen  ei n k au f ex n
einmal  ei n m a l
einrichten  ei n r i ch t ex n
einrichtung  ei n r i ch t u ng
eins  ei n s
einsatz  ei n z a ts
einsetzen  ei n z e ts ex n
einst  ei n s t
einstellen  ei n sh t e l ex n
eintritt  ei n t r i t
einzelne  ei n ts ex l n ex
einzelnen  ei n ts ex l n ex n
einzig  ei n ts i ch
einzige  ei n ts i g ex
einzigen  ei n ts i g ex n
einziger  ei n ts i g er
einziges  ei n ts i g ex s
elend  eh l ex n t
eltern  e l t er n
empfehlen  e m pf eh l ex n
empfinden  e m p f i n d ex n
ende  e n d ex
enden  e n d ex n
endet  e n d ex t
endgültig  e n t g ue l t i ch
endlich  e n t l i ch
eng  e ng
englisch  e ng l i sh
englische  e ng l i sh ex
englischen  e ng l i sh ex n
enorm  e n o er m
entdecken  e n t d e k ex n
entdeckt  e n t d e k t
entfernen  e n t f e er n ex n
entfernt  e n t f e er n t
entgegen  e n t g eh g ex n
enthält  e n t h e l t
enthalten  e n t h a l t ex n
entlang  e n t l a ng
entscheiden  e n t sh ei d ex n
entscheidet  e n t sh ei d ex t
entschieden  e n t sh ih d ex n
entschlossen  e n t sh l o s ex n
entspannt  e n t sh p a n t
entsprechend  e n t sh p r e ch ex n t
entsprechende  e n t sh p r e ch e n d ex
entsprechenden  e n t sh p r e ch e n d ex n
entspricht  e n t sh p r i ch t
entstand  e n t sh t a n t
entstanden  e n t sh t a n d ex n
entstehen  e n t sh t eh ex n
entsteht  e n t sh t eh t
enttäuscht  e n t t eu sh t
entweder  e n t v eh d er
entwickeln  e n t v i k ex l n
entwickelt  e n t v i k ex l t
entwicklung  e n t v i k l u ng
er  e er
erde  e er d ex
erfahren  e er f a r ex n
erfährt  e er f e er t
erfahrung  e er f a r u ng
erfolgreich  e er f o l k r ei ch
erforderlich  e er f o er d er l i ch
erfüllen  e er f ue l ex n
erfüllt  e er f ue l t
erfunden  e er f u n d ex n
ergeben  e er g eh b ex n
ergebnis  e er g e p n i s
ergibt  e er g i p t
erhält  e er h e l t
erhalten  e er h a l t ex n
erhältlich  er h e l t l i ch
erheblich  e er h e p l i ch
erhielt  e er h ih l t
erhöhen  er h oeh ex n
erhöht  e er h oeh t
erinnere  e er q i n ex r ex
erinnern  e er q i n er n
erinnert  e er q i n er t
erkannt  e er k a n t
erkennen  e er k e n ex n
erkennt  e er k e n t
erklären  e er k l eh r ex n
erklärt  e er k l e er t
erklärte  e er k l eh er t ex
erlaubt  e er l au p t
erleben  e er l eh b ex n
erlebt  e er l eh p t
erledigen  e er l eh d i g ex n
erledigt  e er l eh d i ch t
erleichtert  e er l ei ch t er t
ermöglichen  e er m oeh k l i ch ex n
ermöglicht  e er m oeh k l i ch t
erneut  e er n eu t
ernst  e er n s t
ernsthaft  e er n s t h a f t
eröffnet  e er oe f n ex t
erreichen  e er r ei ch ex n
erreicht  e er r ei ch t
erscheinen  e er sh ei n ex n
erscheint  e er sh ei n t
erschien  e er sh ih n
erschienen  e er sh ei n ex n
ersetzt  e er z e ts t
erst  e er s t
erstaunlich  e er sh t au n l i ch
erstaunt  e er sh t au n t
erste  e er s t ex
erstellen  e er sh t e l ex n
ersten  e er s t ex n
erstens  e er s t ex n s
erster  e er s t er
erstes  e er s t ex s
erstmals  e er s t m a l s
ertragen  e er t r a g ex n
erwachsene  e er v a k s ex n ex
erwachsenen  e er v a k s ex n ex n
erwähnen  e er v eh n ex n
erwähnt  e er v eh n t
erwarten  e er v a er t ex n
erwartet  e er v a er t ex t
erweitert  e er v ei t er t
erwischt  e er v i sh t
erzählen  e er ts eh l ex n
erzählt  e er ts eh l t
erzählte  e er ts eh l t ex
erzeugt  e er ts eu k t
es  e s
esse  e s ex
essen  e s ex n
etliche  e t l i ch ex
etwa  e t v a
etwas  e t v a s
euch  eu ch
euer  eu er
eure  eu r ex
eurem  eu r ex m
euren  eu r ex n
eurer  eu r er
euro  eu r oh
europäische  eu r oh p eh i sh ex
europäischen  eu r oh p eh i sh ex n
eventuell  eh v e n t uh q e l
ewig  eh v i ch
exakt  e k s a k t
existieren  e k s i s t ih er n
existiert  e k s i s t ih er t
experte  e k s p er t ex
extra  e k s t r a
extrem  e k s t r eh m
fahre  f a r ex
fahren  f a r ex n
fahrt  f a er t
fährt  f e er t
fahrzeug  f a er ts eu k
falle  f a l ex
fälle  f e l ex
fallen  f a l ex n
fällen  f e l ex n
falls  f a l s
fällt  f e l t
falsch  f a l sh
falsche  f a l sh ex
falschen  f a l sh ex n
familie  f a m ih l ih ex
fand  f a n t
fanden  f a n d ex n
fangen  f a ng ex n
fängt  f e ng t
fassen  f a s ex n
fast  f a s t
fasziniert  f a s ts ih n ih er t
faul  f au l
februar  f eh b r uh a er
fehlen  f eh l ex n
fehler  f eh l er
fehlt  f eh l t
feiern  f ei er n
fein  f ei n
feind  f ei n t
feine  f ei n ex
fenster  f e n s t er
fern  f er n
ferne  f er n ex
fernsehen  f e er n z eh n
fertig  f e er t i ch
fest  f e s t
feste  f e s t ex
festen  f e s t ex n
festgestellt  f e s t g ex sh t e l t
festhalten  f e s t h a l t ex n
feststellen  f e s t sh t e l ex n
fett  f e t
feuerwehr  f eu er v eh er
fiel  f ih l
filme  f i l m ex
filmen  f i l m ex n
finanziell  f ih n a n ts j e l
finde  f i n d ex
finden  f i n d ex n
findet  f i n d ex t
fing  f i ng
fingern  f i ng er n
firma  f i er m a
fit  f i t
fleißig  f l ei s i ch
fliegen  f l ih g ex n
flucht  f l u xh t
folge  f o l g ex
folgen  f o l g ex n
folgende  f o l g ex n d ex
folgenden  f o l g ex n d ex n
folgendes  f o l g ex n d ex s
folgt  f o l k t
folgte  f o l k t ex
fordern  f o er d er n
fordert  f o er d er t
formen  f o er m ex n
fort  f o er t
fotografieren  f oh t oh g r a f ih er n
frag  f r a k
frage  f r a g ex
fragen  f r a g ex n
fragt  f r a k t
fragte  f r a k t ex
frank  f r a ng k
französischen  f r a n ts oeh z i sh ex n
frau  f r au
frei  f r ei
freie  f r ei ex
freien  f r ei ex n
freitag  f r ei t a k
freiwillig  f r ei v i l i ch
fremde  f r e m d ex
fremden  f r e m d ex n
fressen  f r e s ex n
freue  f r eu ex
freuen  f r eu ex n
freund  f r eu n t
freunde  f r eu n d ex
freunden  f r eu n d ex n
freundlich  f r eu n t l i ch
freut  f r eu t
frisch  f r i sh
frische  f r i sh ex
frischen  f r i sh ex n
froh  f r oh
fröhlich  f r oeh l i ch
früh  f r ueh
frühen  f r ueh ex n
früher  f r ueh er
früheren  f r ueh ex r ex n
frühling  f r ueh l i ng
fühle  f ueh l ex
fühlen  f ueh l ex n
fühlt  f ueh l t
fühlte  f ueh l t ex
fuhr  f uh er
fuhren  f uh r ex n
führen  f ueh r ex n
führt  f ueh er t
führte  f ueh er t ex
füllen  f ue l ex n
fünf  f ue n f
funktionieren  f u ng k ts j oh n ih er n
funktioniert  f u ng k ts j oh n ih er t
für  f ueh er
furchtbar  f u er ch t b a er
fürs  f ueh er s
gab  g a p
gäbe  g eh b ex
gaben  g a b ex n
galt  g a l t
gang  g a ng
ganz  g a n ts
ganze  g a n ts ex
ganzen  g a n ts ex n
ganzes  g a n ts ex s
gänzlich  g e n ts l i ch
gar  g a er
garantiert  g a r a n t ih er t
gast  g a s t
geändert  g ex q e n d er t
gearbeitet  g ex a er b ei t ex t
gebacken  g ex b a k ex n
gebären  g ex b eh r ex n
gebäude  g ex b eu d ex
gebaut  g ex b au t
gebe  g eh b ex
geben  g eh b ex n
gebeten  g ex b eh t ex n
geblieben  g ex b l ih b ex n
geboren  g ex b oh r ex n
geboten  g ex b oh t ex n
gebracht  g ex b r a xh t
gebraucht  g ex b r au ch t
gebrochen  g ex b r o xh ex n
gedacht  g ex d a xh t
gedauert  g ex d au er t
geeignet  g ex q ei g n ex t
gefährdet  g ex f er d ex t
gefahren  g ex f a r ex n
gefährlich  g ex f e er l i ch
gefallen  g ex f a l ex n
gefällt  g ex f e l t
gefangen  g ex f a ng ex n
gefeiert  g ex f ei er t
gefragt  g ex f r a k t
gefreut  g ex f r eu t
gefühlt  g ex f ueh l t
geführt  g ex f ueh er t
gefüllt  g ex f ue l t
gefunden  g ex f u n d ex n
gegangen  g ex g a ng ex n
gegeben  g ex g eh b ex n
gegen  g eh g ex n
gegenseitig  g eh g ex n z ei t i ch
gegenüber  g eh g ex n ueh b er
gegessen  g ex g e s ex n
geh  g eh
geh  g eh
gehabt  g ex h a p t
gehalten  g ex h a l t ex n
gehe  g eh ex
gehen  g eh ex n
gehn  g eh n
geholfen  g ex h o l f ex n
geholt  g ex h oh l t
gehören  g ex h oeh r ex n
gehört  g ex h oe er t
gehörte  g ex h oe er t ex
geht  g eh t
geil  g ei l
geistigen  g ei s t i g ex n
gekauft  g ex k au f t
geklappt  g ex k l a p t
gekocht  g ex k o xh t
gekommen  g ex k o m ex n
gekostet  g ex k o s t ex t
gelacht  g ex l a xh t
gelandet  g ex l a n d ex t
gelangen  g ex l a ng ex n
gelassen  g ex l a s ex n
gelaufen  g ex l au f ex n
gelb  g e l p
geld  g e l t
gelebt  g ex l eh p t
gelegen  g ex l eh g ex n
gelegentlich  g ex l eh g ex n t l i ch
gelegt  g ex l eh k t
gelernt  g ex l e er n t
gelesen  g ex l eh z ex n
geliebt  g ex l ih p t
geliebten  g ex l ih p t ex n
gelingt  g ex l i ng t
gelöscht  g ex l oe sh t
gelöst  g ex l oeh s t
gelten  g e l t ex n
gelungen  g ex l u ng ex n
gemacht  g ex m a xh t
gemeinde  g ex m ei n d ex
gemeinsam  g ex m ei n z a m
gemeinsame  g ex m ei n z a m ex
gemeinsamen  g ex m ei n z a m ex n
gemeint  g ex m ei n t
gemeldet  g ex m e l d ex t
gemerkt  g ex m e er k t
gemütlich  g ex m ueh t l i ch
gen  g eh n
genäht  g ex n eh t
genannt  g ex n a n t
genannten  g ex n a n t ex n
genau  g ex n au
genauer  g ex n au er
genauso  g ex n au z oh
generell  g e n ex r e l
genervt  g ex n er f t
genial  g eh n ih a l
genießen  g ex n ih s ex n
genommen  g ex n o m ex n
genossen  g ex n o s ex n
genug  g ex n uh k
genügend  g ex n ueh g ex n t
genutzt  g ex n u ts t
geöffnet  g ex oe f n ex t
gepackt  g ex p a k t
geplant  g ex p l a n t
geprägt  g ex p r eh k t
gerade  g ex r a d ex
geradezu  g ex r a d ex ts uh
gerät  g ex r eh t
geraten  g ex r a t ex n
gerechnet  g ex r e ch n ex t
gerecht  g ex r e ch t
geredet  g ex r eh d ex t
gerettet  g ex r e t ex t
gericht  g ex r i ch t
gern  g e er n
gerne  g e er n ex
gesagt  g ex z a k t
gesamte  g ex z a m t ex
gesamten  g ex z a m t ex n
geschaffen  g ex sh a f ex n
geschafft  g ex sh a f t
geschäft  g ex sh e f t
geschah  g ex sh a
geschaut  g ex sh au t
geschehen  g ex sh eh ex n
geschenkt  g ex sh e ng k t
geschichte  g ex sh i ch t ex
geschickt  g ex sh i k t
geschieht  g ex sh ih t
geschlafen  g ex sh l a f ex n
geschlagen  g ex sh l a g ex n
geschlossen  g ex sh l o s ex n
geschnitten  g ex sh n i t ex n
geschrieben  g ex sh r ih b ex n
gesehen  g ex z eh ex n
gesellschaftlichen  g ex z e l sh a f t l i ch ex n
gesetzt  g ex z e ts t
gesicht  g ex z i ch t
gespannt  g ex sh p a n t
gespielt  g ex sh p ih l t
gespräch  g ex sh p r eh ch
gesprochen  g ex sh p r o xh ex n
gestalten  g ex sh t a l t ex n
gestaltet  g ex sh t a l t ex t
gestellt  g ex sh t e l t
gestern  g e s t er n
gesteuert  g ex sh t eu er t
gestorben  g ex sh t o er b ex n
gestört  g ex sh t oeh er t
gestrickt  g ex sh t r i k t
gesucht  g ex z u xh t
gesund  g ex z u n t
getan  g ex t a n
getötet  g ex t oeh t ex t
getragen  g ex t r a g ex n
getrennt  g ex t r e n t
getroffen  g ex t r o f ex n
getrunken  g ex t r u ng k ex n
gewachsen  g ex v a k s ex n
gewählt  g ex v eh l t
gewartet  g ex v a er t ex t
gewesen  g ex v eh z ex n
gewinnen  g ex v i n ex n
gewinnt  g ex v i n t
gewisse  g ex v i s ex
gewissen  g ex v i s ex n
gewohnt  g ex v oh n t
gewöhnt  g ex v oh n t
gewonnen  g ex v o n ex n
geworden  g ex v o er d ex n
geworfen  g ex v o er f ex n
gewünscht  g ex v ue n sh t
gezeigt  g ex ts ei k t
gezielt  g ex ts ih l t
gezogen  g ex ts oh g ex n
gezwungen  g ex ts v u ng ex n
gibt  g i p t
gibts  g i p ts
gilt  g i l t
ging  g i ng
ginge  g i ng ex
gingen  g i ng ex n
glatt  g l a t
glaub  g l au p
glaube  g l au b ex
glauben  g l au p t ex n
